2026-02-22 17:02:37,621 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:03:07,671 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:03:39,743 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:04:09,791 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:04:41,820 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:05:11,869 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:05:43,940 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:06:13,988 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:06:46,021 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:07:16,071 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:07:48,140 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:08:18,190 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:08:50,220 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:09:20,270 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:09:52,341 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:10:22,391 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:10:54,439 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:11:24,488 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:11:56,537 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:12:26,587 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:12:58,618 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:13:28,665 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:14:00,737 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:14:30,786 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:15:02,816 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:15:32,866 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:16:04,935 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:16:34,984 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:17:07,014 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:17:37,064 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:18:09,135 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
